customer_id,geography,gender,age,tenure_years,balance,credit_score,num_products,has_credit_card,is_active_member,estimated_salary,exited,complaints_last_year,support_calls,satisfaction_score,last_contact_days_ago,contract_type,products_used,loan_amount,mobile_app_logins_month,churn_risk_pct
BNK-300000,Germany,Female,67,7,1619.72,599,1,True,False,65499479,False,0,2,4.73,28,annual,1,0.0,2,30.5
BNK-300001,France,Female,37,7,8461.3,640,1,True,False,14866304,False,0,0,5.0,85,annual,1,0.0,1,15.3
BNK-300002,France,Male,69,5,485.31,571,2,True,True,19384992,False,0,2,3.58,35,monthly,2,0.0,8,3.0
BNK-300003,Spain,Female,18,8,0.0,618,2,True,True,35062253,True,1,0,3.51,309,annual,2,0.0,11,3.0
BNK-300004,France,Female,36,8,1264.65,587,3,True,True,11376579,False,0,1,4.89,188,biennial,3,89586.0,15,2.0
BNK-300005,France,Male,53,2,237.01,618,1,True,False,32668761,False,0,0,3.54,158,monthly,1,0.0,4,21.5
BNK-300006,France,Male,35,6,1082.71,688,1,True,False,55438671,False,0,3,5.0,181,annual,1,0.0,3,13.6
BNK-300007,Germany,Male,19,0,14807.34,645,1,True,True,44281374,False,0,2,4.89,35,monthly,1,0.0,9,16.4
BNK-300008,Germany,Male,27,0,0.0,624,1,True,True,37778561,False,0,0,3.01,237,monthly,1,0.0,14,13.9
BNK-300009,France,Male,71,4,16881.96,606,2,True,True,32326354,False,0,2,5.0,355,monthly,2,57816.0,10,4.4
BNK-300010,France,Male,42,7,9395.65,671,3,False,True,29321162,False,2,0,3.05,52,monthly,3,70834.0,11,1.2
BNK-300011,Spain,Male,27,5,0.0,618,1,True,True,28488618,False,1,3,3.45,93,monthly,1,0.0,12,9.2
BNK-300012,France,Male,53,1,4837.18,587,3,True,True,40715400,False,1,1,4.55,283,annual,3,0.0,13,4.2
BNK-300013,France,Female,39,7,12962.62,635,2,True,True,16723224,False,1,1,4.83,290,monthly,2,0.0,14,1.8
BNK-300014,France,Female,40,6,0.0,626,3,True,True,75475073,False,1,0,4.08,103,annual,3,0.0,12,1.8
BNK-300015,Spain,Male,71,7,2276.24,645,3,False,False,25113991,False,0,2,3.5,5,monthly,3,11738.0,2,7.1
BNK-300016,France,Female,48,6,0.0,688,3,True,True,47994391,False,0,2,3.79,262,monthly,3,0.0,14,2.2
BNK-300017,France,Female,22,8,23661.51,587,1,True,False,37804428,False,0,1,3.7,94,annual,1,38425.0,1,15.3
BNK-300018,Germany,Male,71,3,8936.97,557,1,True,False,20397758,False,0,0,4.67,295,annual,1,7114.0,0,32.5
BNK-300019,France,Male,18,0,10173.47,610,1,True,True,69309165,False,0,1,3.68,123,annual,1,0.0,15,15.4
BNK-300020,Spain,Female,57,5,15758.57,650,1,False,True,62363259,False,0,1,3.48,356,annual,1,5698.0,18,9.5
BNK-300021,Spain,Female,23,9,10379.44,629,2,True,True,16558729,False,0,0,2.82,313,annual,2,22270.0,11,2.8
BNK-300022,Germany,Male,33,0,776.51,480,4,True,True,35003901,False,0,0,3.52,25,monthly,4,83426.0,13,4.7
BNK-300023,France,Female,74,9,11759.44,643,2,True,False,40282934,False,0,0,3.91,273,monthly,2,38383.0,0,7.3
BNK-300024,France,Female,27,7,1807.41,704,1,True,True,12891602,False,0,0,3.1,262,monthly,1,0.0,8,5.3
BNK-300025,Germany,Male,73,0,9708.12,469,1,False,True,12578291,True,0,0,1.6,113,monthly,1,0.0,11,21.1
BNK-300026,France,Male,34,5,430.44,634,2,True,True,23936714,False,1,0,4.78,335,monthly,2,0.0,12,2.6
BNK-300027,Germany,Female,39,3,8511.83,676,1,False,True,18833443,False,1,1,3.2,287,monthly,1,0.0,12,4.7
BNK-300028,France,Male,71,6,2797.29,548,1,False,True,21552314,False,0,0,2.95,97,monthly,1,0.0,17,18.3
BNK-300029,Germany,Female,60,7,3008.98,620,1,True,True,18835014,False,0,2,5.0,295,monthly,1,49491.0,10,11.2
BNK-300030,France,Female,34,3,2408.0,643,3,True,True,34159743,False,0,4,4.68,259,monthly,3,0.0,8,1.7
BNK-300031,Germany,Male,59,4,1940.29,536,1,True,True,23245386,False,1,3,4.82,187,biennial,1,0.0,14,10.6
BNK-300032,France,Female,45,0,10555.04,559,4,True,True,63385042,False,0,2,4.4,325,biennial,4,0.0,10,7.4
BNK-300033,France,Male,23,0,1691.96,547,2,False,True,39740859,False,1,0,5.0,185,biennial,2,0.0,17,3.0
BNK-300034,France,Male,32,7,10227.78,651,2,True,True,54022539,False,0,4,4.71,99,annual,2,0.0,10,1.6
BNK-300035,France,Female,31,3,0.0,595,3,True,True,15613110,False,0,2,3.72,186,biennial,3,0.0,11,4.1
BNK-300036,Spain,Male,45,8,0.0,654,3,True,True,26526199,False,1,0,3.15,177,monthly,3,0.0,13,2.8
BNK-300037,France,Male,68,5,916.11,613,1,False,False,38875055,False,0,2,2.97,61,annual,1,0.0,0,15.9
BNK-300038,France,Male,50,3,13865.03,654,1,False,True,45546509,False,3,2,3.89,209,annual,1,0.0,16,4.1
BNK-300039,Germany,Male,27,8,9843.98,766,1,False,True,26269189,False,1,0,3.12,296,monthly,1,0.0,16,4.6
BNK-300040,France,Male,52,0,5246.84,580,1,True,True,28266568,False,2,2,3.36,320,monthly,1,0.0,8,10.8
BNK-300041,Spain,Female,47,8,3987.34,630,1,True,False,29858666,False,0,2,3.88,261,annual,1,0.0,1,22.2
BNK-300042,France,Female,40,0,5531.3,575,2,True,True,31290450,False,1,1,5.0,179,biennial,2,40993.0,12,5.8
BNK-300043,Spain,Female,31,9,5689.65,636,1,False,True,107162179,False,2,1,2.79,310,annual,1,0.0,15,7.7
BNK-300044,Germany,Male,58,5,22708.9,620,4,True,True,42472900,False,0,2,4.02,339,monthly,4,0.0,16,2.9
BNK-300045,France,Male,49,4,6146.2,588,3,True,False,37046815,True,1,1,2.0,297,monthly,3,0.0,2,5.9
BNK-300046,France,Female,42,6,1832.09,655,2,True,True,19350930,False,0,0,3.55,289,monthly,2,87534.0,12,1.1
BNK-300047,France,Male,29,7,6728.19,625,2,False,True,19581236,False,0,0,4.74,286,annual,2,0.0,14,2.4
BNK-300048,Germany,Male,24,2,26198.54,611,1,True,True,32643333,False,1,1,3.32,179,monthly,1,0.0,19,7.7
BNK-300049,France,Female,30,1,4919.59,630,1,True,False,63907218,False,0,1,3.79,285,monthly,1,0.0,2,36.7
BNK-300050,Germany,Female,53,9,0.0,637,1,True,True,32873760,False,0,1,4.11,140,biennial,1,61627.0,9,18.7
BNK-300051,Germany,Male,20,5,22217.75,583,3,True,True,33585319,False,0,0,4.56,344,monthly,3,0.0,10,2.3
BNK-300052,Germany,Male,22,2,0.0,632,1,False,True,25031134,True,0,1,2.56,322,annual,1,0.0,9,8.3
