order_id,region,customer_segment,product_category,channel,is_premium,is_returned,order_date,quantity,unit_price,discount_pct,revenue,cost,margin,margin_pct,nps,session_minutes,page_views,age,income_k,loyalty_points,shipping_days,delivery_score,campaign,items_in_cart,payment_method,repeat_customer
ORD-20250000,Москва,A,Одежда,mobile,False,False,2023-01-01 00:00:00,2,44.16,0.9,87.53,63.77,23.76,27.1,10.0,12.2,10,23,574.0,1865,4,4.0,NONE,6,card,False
ORD-20250001,Москва,B,Мебель,mobile,False,False,2023-01-01 06:00:00,4,118.72,4.5,453.5,335.76,117.74,26.0,7.4,46.7,9,68,179.0,3952,5,3.8,SUMMER,6,wallet,True
ORD-20250002,Москва,C,Электроника,store,False,False,2023-01-01 12:00:00,1,171.58,7.5,158.71,112.46,46.25,29.1,9.4,43.8,11,22,403.0,5673,6,4.2,NEWYEAR,1,wallet,True
ORD-20250003,Казань,A,Электроника,online,False,False,2023-01-01 18:00:00,1,547.27,5.7,516.08,357.62,158.46,30.7,8.1,26.8,9,68,441.0,3894,13,5.0,NONE,4,wallet,True
ORD-20250004,Новосибирск,B,Мебель,mobile,True,False,2023-01-02 00:00:00,7,215.43,4.2,1444.7,752.71,691.99,47.9,10.0,24.7,17,28,477.0,2119,5,4.1,SALE20,9,wallet,True
ORD-20250005,Самара,B,Спорт,mobile,False,False,2023-01-02 06:00:00,5,298.57,21.3,1174.87,592.19,582.68,49.6,9.1,20.1,15,36,456.0,6867,3,4.0,NONE,7,card,False
ORD-20250006,Самара,C,Электроника,mobile,False,False,2023-01-02 12:00:00,7,215.43,23.1,1159.68,731.55,428.13,36.9,7.8,72.1,18,26,491.0,2626,12,4.5,SALE20,8,credit,False
ORD-20250007,СПб,B,Мебель,online,False,False,2023-01-02 18:00:00,7,249.04,4.4,1666.55,1017.68,648.87,38.9,7.7,61.6,18,58,531.0,3643,8,4.1,NONE,10,cash,True
ORD-20250008,Москва,A,Продукты,online,True,False,2023-01-03 00:00:00,7,123.09,14.5,736.67,490.82,245.85,33.4,9.5,35.8,15,21,968.0,1793,7,3.6,NONE,11,card,False
ORD-20250009,Москва,B,Спорт,mobile,False,False,2023-01-03 06:00:00,2,43.33,10.8,77.3,37.51,39.79,51.5,8.8,7.9,11,46,591.0,3568,11,5.0,NEWYEAR,5,credit,False
ORD-20250010,Москва,B,Спорт,mobile,False,False,2023-01-03 12:00:00,6,109.46,9.4,595.01,318.82,276.19,46.4,7.9,39.0,10,68,243.0,281,6,4.3,SUMMER,6,credit,False
ORD-20250011,Москва,C,Продукты,mobile,True,True,2023-01-03 18:00:00,5,106.8,23.8,406.9,265.16,141.74,34.8,7.4,54.2,9,38,622.0,510,10,5.0,NONE,6,credit,True
ORD-20250012,Новосибирск,C,Спорт,store,False,False,2023-01-04 00:00:00,2,76.43,1.1,151.18,95.78,55.4,36.6,8.7,10.8,10,28,419.0,190,5,3.7,NONE,6,wallet,False
ORD-20250013,Москва,C,Одежда,mobile,False,False,2023-01-04 06:00:00,2,78.23,24.4,118.28,65.6,52.68,44.5,9.1,15.5,7,58,354.0,6310,6,3.8,SALE20,4,card,False
ORD-20250014,СПб,A,Продукты,mobile,False,False,2023-01-04 12:00:00,3,431.36,7.9,1191.84,589.28,602.56,50.6,6.9,20.0,11,50,249.0,2399,11,4.2,NEWYEAR,6,cash,False
ORD-20250015,Новосибирск,B,Электроника,mobile,False,False,2023-01-04 18:00:00,6,232.71,14.2,1197.97,847.4,350.57,29.3,10.0,22.9,13,67,395.0,3559,12,5.0,SUMMER,7,credit,False
ORD-20250016,СПб,A,Электроника,online,False,False,2023-01-05 00:00:00,4,185.64,23.3,569.55,398.31,171.24,30.1,7.9,26.9,14,40,481.0,3296,10,3.7,NONE,6,card,True
ORD-20250017,Самара,A,Мебель,online,True,False,2023-01-05 06:00:00,2,175.75,16.1,294.92,145.65,149.27,50.6,8.7,19.2,13,36,600.0,7527,10,3.7,NONE,2,card,True
ORD-20250018,Казань,A,Продукты,store,True,False,2023-01-05 12:00:00,5,112.26,19.2,453.53,306.04,147.49,32.5,8.2,54.7,13,34,286.0,6335,5,4.3,NEWYEAR,6,card,False
ORD-20250019,Самара,B,Электроника,mobile,True,False,2023-01-05 18:00:00,5,348.98,2.4,1703.04,838.88,864.16,50.7,7.6,17.7,12,26,376.0,1802,4,5.0,NONE,9,wallet,True
