employee_id,department,job_level,age,gender,marital_status,education,years_at_company,years_in_role,monthly_income,overtime_hours_month,satisfaction_score,work_life_balance,trainings_last_year,promotions_last_5y,distance_home_km,remote_days_week,stock_option_level,num_companies_worked,performance_rating,hire_date,last_promotion_date,attrition,attrition_risk_score,manager_tenure_years,team_size,business_travel,environment_satisfaction,job_involvement,monthly_rate,percent_salary_hike,relationship_satisfaction,total_working_years,training_times_last_year,work_accident,left_company
EMP-20000,Sales,4,41,F,married,college,4,1,11917,18,3.04,3.15,0,3,36.5,2,2,2,4,2015-01-01,2018-06-01,False,0.9,11,10,rare,3.2,4,74.48,20.9,2,18,0,False,False
EMP-20001,Operations,3,35,F,divorced,bachelor,17,15,11161,16,2.91,3.53,6,2,53.1,1,3,2,3,2015-01-04,2018-06-06,False,0.3,12,5,none,2.28,3,69.76,4.9,4,24,6,False,False
EMP-20002,IT,1,50,M,married,master,11,8,6055,9,3.49,3.38,6,1,13.6,3,0,2,2,2015-01-07,2018-06-11,False,0.1,12,4,none,3.5,2,37.84,3.2,4,12,6,False,False
EMP-20003,IT,2,35,M,married,phd,5,2,7574,32,4.38,2.59,0,2,9.0,5,2,4,1,2015-01-10,2018-06-16,False,0.6,1,7,none,4.71,3,47.34,22.0,4,6,0,False,False
EMP-20004,HR,4,56,F,single,master,10,9,11993,10,3.55,3.63,3,1,4.6,1,3,7,2,2015-01-13,2018-06-21,False,0.0,4,3,rare,3.95,4,74.96,4.6,1,10,3,False,False
EMP-20005,Operations,4,57,F,divorced,college,19,15,11410,0,3.64,3.43,3,1,43.8,5,1,6,3,2015-01-16,2018-06-26,False,0.3,14,6,rare,3.47,2,71.31,21.4,4,22,3,False,False
EMP-20006,Sales,5,38,M,married,master,1,1,13462,3,3.27,3.62,3,2,54.1,0,0,4,1,2015-01-19,2018-07-01,False,0.1,9,12,frequent,3.45,2,84.14,14.5,3,5,3,False,False
EMP-20007,IT,2,49,F,single,bachelor,5,5,7587,25,3.48,2.93,2,0,41.7,0,0,5,4,2015-01-22,2018-07-06,False,0.9,4,16,frequent,3.91,1,47.42,20.6,2,19,2,False,False
EMP-20008,R&D,5,47,M,married,master,9,8,12517,18,2.65,3.74,2,3,58.6,5,0,2,3,2015-01-25,2018-07-11,False,0.8,14,11,rare,2.99,1,78.23,1.8,3,21,2,False,False
EMP-20009,R&D,5,52,F,married,master,2,1,11363,9,2.73,4.19,2,3,42.8,0,3,7,4,2015-01-28,2018-07-16,False,0.3,5,15,rare,3.09,1,71.02,24.1,2,2,2,False,False
EMP-20010,Operations,2,38,F,single,bachelor,8,7,8350,8,3.86,4.65,7,3,18.0,2,1,7,1,2015-01-31,2018-07-21,False,0.0,5,4,rare,3.91,1,52.19,7.5,2,13,7,False,False
EMP-20011,Operations,2,36,F,married,master,1,0,6889,7,3.9,3.89,7,0,16.1,5,0,5,4,2015-02-03,2018-07-26,False,0.0,12,8,frequent,3.86,1,43.06,1.5,1,5,7,False,False
EMP-20012,R&D,5,31,M,married,master,15,15,14186,14,2.94,3.09,0,1,40.3,2,3,8,4,2015-02-06,2018-07-31,False,0.5,14,14,rare,3.05,4,88.66,19.1,3,21,0,False,False
EMP-20013,Finance,2,43,M,single,bachelor,14,13,8301,24,2.71,2.77,5,1,40.9,1,3,8,2,2015-02-09,2018-08-05,False,0.9,6,3,none,2.4,3,51.88,4.5,2,16,5,False,False
EMP-20014,Operations,3,44,M,divorced,bachelor,0,0,7598,22,2.94,2.84,4,2,31.9,0,0,8,3,2015-02-12,2018-08-10,False,0.8,10,12,none,3.38,1,47.49,8.8,4,4,4,False,False
EMP-20015,HR,5,38,F,divorced,bachelor,8,6,13367,26,2.43,2.5,2,1,32.1,4,2,1,3,2015-02-15,2018-08-15,False,2.9,10,5,frequent,1.82,4,83.54,14.9,1,16,2,True,False
EMP-20016,Sales,2,33,F,single,bachelor,2,2,6682,1,3.79,4.14,1,1,25.6,1,1,1,4,2015-02-18,2018-08-20,False,0.1,4,10,none,3.59,4,41.76,1.7,2,9,1,False,False
EMP-20017,Operations,5,38,F,married,master,9,9,13063,19,3.16,3.26,6,0,21.6,0,0,4,2,2015-02-21,2018-08-25,False,0.6,8,13,rare,3.15,4,81.64,5.0,1,21,6,False,False
EMP-20018,Operations,1,40,F,divorced,bachelor,9,6,7782,26,4.65,2.11,2,2,38.4,2,0,1,4,2015-02-24,2018-08-30,False,0.6,1,19,frequent,4.84,4,48.64,12.2,1,22,2,False,False
EMP-20019,Sales,2,26,F,married,phd,16,14,9215,7,4.72,4.19,1,2,45.1,1,2,1,3,2015-02-27,2018-09-04,False,0.0,13,4,none,4.98,1,57.59,10.5,3,21,1,False,False
EMP-20020,Finance,2,45,F,divorced,college,2,0,7581,20,4.57,2.08,7,2,49.0,5,3,2,1,2015-03-02,2018-09-09,False,0.1,12,12,none,5.0,3,47.38,13.9,4,14,7,False,False
