timestamp,hour,day_of_week,month,is_weekend,outdoor_temp_c,energy_kwh,hvac_mode,occupancy_est,solar_gen_kwh,grid_import_kwh,is_anomaly,cost_rub
2024-01-01 00:00:00,0,0,1,False,7.6,6.032,heat,2,0.0,6.032,False,29.79
2024-01-01 01:00:00,1,0,1,False,3.9,6.22,heat,5,0.0,6.22,False,30.2
2024-01-01 02:00:00,2,0,1,False,7.3,5.964,heat,2,0.0,5.964,False,28.35
2024-01-01 03:00:00,3,0,1,False,2.5,6.642,heat,5,0.0,6.642,False,39.23
2024-01-01 04:00:00,4,0,1,False,3.0,6.255,heat,4,0.0,6.255,False,37.07
2024-01-01 05:00:00,5,0,1,False,8.1,5.169,heat,5,0.0,5.169,False,30.58
2024-01-01 06:00:00,6,0,1,False,7.5,4.74,heat,5,0.0,4.74,False,29.91
2024-01-01 07:00:00,7,0,1,False,9.2,6.065,heat,5,0.0,5.936,False,37.84
2024-01-01 08:00:00,8,0,1,False,4.4,7.409,heat,3,0.18,7.159,False,34.25
2024-01-01 09:00:00,9,0,1,False,8.9,6.628,heat,0,0.472,6.274,False,32.11
2024-01-01 10:00:00,10,0,1,False,6.3,7.87,heat,1,0.234,7.437,False,37.62
2024-01-01 11:00:00,11,0,1,False,6.2,7.1,heat,3,0.4,6.617,False,36.9
2024-01-01 12:00:00,12,0,1,False,2.4,7.772,heat,2,0.0,7.272,False,40.61
2024-01-01 13:00:00,13,0,1,False,7.0,7.39,heat,4,0.2,6.907,False,45.83
2024-01-01 14:00:00,14,0,1,False,4.2,7.814,heat,2,0.085,7.381,False,43.13
2024-01-01 15:00:00,15,0,1,False,10.6,6.618,off,3,0.356,6.264,False,39.09
2024-01-01 16:00:00,16,0,1,False,5.0,7.94,heat,6,0.171,7.69,False,37.77
2024-01-01 17:00:00,17,0,1,False,4.5,7.912,heat,7,0.0,7.783,False,37.88
2024-01-01 18:00:00,18,0,1,False,8.8,6.734,heat,4,0.0,6.734,False,31.34
2024-01-01 19:00:00,19,0,1,False,5.3,7.877,heat,4,0.011,7.877,False,38.12
2024-01-01 20:00:00,20,0,1,False,2.4,8.55,heat,8,0.0,8.55,False,42.72
2024-01-01 21:00:00,21,0,1,False,0.4,9.077,heat,4,0.121,9.077,False,51.26
2024-01-01 22:00:00,22,0,1,False,2.3,8.592,heat,8,0.0,8.592,False,50.0
2024-01-01 23:00:00,23,0,1,False,-0.5,7.392,heat,2,0.113,7.392,False,44.33
2024-01-02 00:00:00,0,1,1,False,4.7,5.797,heat,1,0.0,5.797,False,35.09
2024-01-02 01:00:00,1,1,1,False,7.6,5.416,heat,1,0.0,5.416,False,26.45
2024-01-02 02:00:00,2,1,1,False,3.3,6.315,heat,2,0.0,6.315,False,29.36
2024-01-02 03:00:00,3,1,1,False,12.6,3.78,off,2,0.0,3.78,False,20.1
2024-01-02 04:00:00,4,1,1,False,0.7,7.752,heat,3,0.091,7.752,False,49.6
2024-01-02 05:00:00,5,1,1,False,6.6,5.648,heat,3,0.0,5.648,False,31.02
2024-01-02 06:00:00,6,1,1,False,6.3,5.303,heat,0,0.0,5.303,False,32.33
2024-01-02 07:00:00,7,1,1,False,3.7,8.403,heat,4,0.064,8.274,False,52.86
2024-01-02 08:00:00,8,1,1,False,4.5,7.713,heat,4,0.231,7.463,False,43.16
2024-01-02 09:00:00,9,1,1,False,10.0,6.701,heat,2,0.293,6.347,False,33.03
