batch_id,production_line,shift,operator_experience_years,material_grade,temperature_c,humidity_pct,speed_rpm,batch_size_units,defect_count,defect_rate,downtime_minutes,energy_kwh,maintenance_days_ago,quality_score,passed_inspection,product_type,order_priority,supplier_id,tool_wear_pct,vibration_mm_s,pressure_bar,cycle_time_sec,scrap_cost_usd,shift_supervisor,weekday,production_date,is_weekend,target_met,rework_units,oee_pct
BATCH-5000,Line_A,day,16,B,19.7,67.1,1317,217,7,0.0323,30.9,242.1,58,88.8,True,widget,high,SUP-01,36.0,0.256,3.27,11.8,51.29,Petrov,5,2024-01-02,False,True,4,86.0
BATCH-5001,Line_C,night,4,B,20.37,65.5,920,89,5,0.0562,10.9,115.3,33,78.0,False,bracket,normal,SUP-01,16.2,0.871,5.01,6.7,25.26,Sidorov,0,2024-01-03,True,False,2,80.0
BATCH-5002,Line_B,night,5,A,30.99,63.7,1098,318,25,0.0786,52.7,306.0,26,57.4,False,bracket,normal,SUP-01,70.2,1.287,4.99,16.5,373.46,Ivanov,3,2024-01-04,False,False,8,72.3
BATCH-5003,Line_C,night,17,B,26.46,58.5,1141,248,9,0.0363,31.2,256.7,73,78.5,True,widget,high,SUP-04,55.3,0.646,5.25,14.3,215.86,Petrov,5,2024-01-05,False,True,6,90.7
BATCH-5004,Line_A,night,17,B,23.0,63.4,929,73,3,0.0411,42.6,96.5,37,81.3,True,bracket,normal,SUP-02,27.3,0.859,4.49,7.1,49.36,Ivanov,6,2024-01-06,False,False,1,83.0
BATCH-5005,Line_A,night,0,A,27.75,68.8,866,311,19,0.0611,53.6,295.6,58,77.1,False,bracket,low,SUP-01,42.2,1.086,3.98,21.8,236.72,Ivanov,6,2024-01-07,False,False,8,75.9
BATCH-5006,Line_B,day,5,B,24.06,82.8,1044,144,8,0.0556,17.8,162.6,3,77.9,False,bracket,normal,SUP-01,53.6,0.924,4.33,11.9,44.95,Kozlov,1,2024-01-08,True,False,3,74.4
BATCH-5007,Line_A,night,14,C,29.9,73.4,1467,155,15,0.0968,36.0,199.2,7,45.3,False,bracket,urgent,SUP-01,62.6,1.481,4.5,8.0,349.49,Ivanov,1,2024-01-09,False,False,4,73.3
BATCH-5008,Line_A,evening,15,B,17.36,70.0,1231,54,2,0.037,22.7,102.1,76,80.2,True,housing,urgent,SUP-04,6.4,0.996,4.1,3.1,23.09,Ivanov,4,2024-01-10,False,True,0,85.8
BATCH-5009,Line_C,day,19,B,21.2,92.2,1067,217,8,0.0369,26.0,225.6,13,76.9,True,housing,normal,SUP-02,1.8,0.822,5.16,12.7,152.76,Ivanov,3,2024-01-11,False,True,6,89.1
BATCH-5010,Line_A,evening,11,A,20.61,66.3,827,148,4,0.027,13.4,156.0,71,85.2,True,bracket,high,SUP-01,9.2,0.679,5.4,11.0,75.54,Ivanov,1,2024-01-12,False,True,1,85.9
BATCH-5011,Line_A,day,0,B,16.08,64.7,1220,82,4,0.0488,79.8,125.8,81,83.6,True,gear,normal,SUP-01,31.6,0.955,4.69,1.5,40.31,Sidorov,0,2024-01-13,False,False,2,73.0
BATCH-5012,Line_B,day,17,A,25.18,69.6,865,245,7,0.0286,29.0,248.7,43,78.6,True,bracket,low,SUP-03,37.3,0.785,4.5,16.8,43.93,Kozlov,1,2024-01-14,False,True,4,90.4
BATCH-5013,Line_B,day,3,A,21.19,51.3,1180,149,2,0.0134,11.7,185.1,79,85.2,True,housing,normal,SUP-03,10.9,0.286,3.98,8.0,25.4,Ivanov,2,2024-01-15,True,True,1,89.0
BATCH-5014,Line_B,day,2,A,24.22,57.8,1326,110,1,0.0091,15.6,156.1,39,91.3,True,widget,normal,SUP-04,32.9,0.683,5.12,4.1,11.34,Sidorov,5,2024-01-16,False,True,0,82.4
BATCH-5015,Line_A,evening,13,A,29.08,58.7,1097,260,13,0.05,29.2,262.7,85,76.4,False,widget,normal,SUP-01,35.3,0.91,4.53,14.9,247.07,Petrov,0,2024-01-17,True,False,8,76.0
BATCH-5016,Line_C,night,12,A,22.94,68.4,1010,78,3,0.0385,28.0,117.1,22,83.9,True,bracket,high,SUP-01,8.7,1.137,4.38,4.7,64.19,Ivanov,0,2024-01-18,False,True,1,84.8
BATCH-5017,Line_A,evening,1,B,20.74,59.5,833,495,13,0.0263,34.8,443.3,39,89.0,True,bracket,normal,SUP-01,73.3,0.881,4.69,37.2,122.84,Sidorov,1,2024-01-19,True,True,8,79.2
BATCH-5018,Line_B,evening,3,A,22.36,63.1,817,261,6,0.023,26.0,245.5,35,94.4,True,bracket,normal,SUP-02,47.9,0.964,4.27,20.5,93.39,Ivanov,6,2024-01-20,False,True,4,81.5
BATCH-5019,Line_B,day,11,A,24.96,73.4,1101,498,21,0.0422,104.7,453.1,70,70.1,True,widget,normal,SUP-03,31.1,0.72,4.56,27.5,122.06,Sidorov,6,2024-01-21,False,False,13,83.7
BATCH-5020,Line_C,evening,5,A,20.3,69.7,1418,446,18,0.0404,44.3,418.6,4,85.7,True,bracket,low,SUP-03,40.6,0.83,3.92,16.1,167.13,Sidorov,3,2024-01-22,False,False,12,78.1
BATCH-5021,Line_A,day,13,B,20.11,59.4,971,490,1,0.002,9.7,446.2,74,97.4,True,housing,normal,SUP-01,25.1,0.272,4.93,33.9,20.24,Sidorov,0,2024-01-23,False,True,0,90.3
BATCH-5022,Line_B,night,8,A,27.17,56.5,1202,294,16,0.0544,41.2,305.6,3,76.5,False,housing,urgent,SUP-03,68.3,0.903,4.46,14.4,333.89,Ivanov,0,2024-01-24,False,False,10,77.8
BATCH-5023,Line_A,day,11,A,23.14,73.3,1279,240,8,0.0333,21.1,256.4,29,76.7,True,widget,normal,SUP-03,46.0,1.083,4.96,11.1,164.22,Petrov,6,2024-01-25,False,True,5,88.2
BATCH-5024,Line_A,evening,9,B,15.87,67.5,843,373,17,0.0456,44.3,329.9,54,77.2,True,bracket,low,SUP-01,39.6,1.253,4.42,25.9,133.41,Sidorov,3,2024-01-26,False,False,7,80.5
BATCH-5025,Line_A,evening,7,A,18.32,44.4,907,86,1,0.0116,2.9,117.2,13,95.4,True,housing,normal,SUP-03,72.9,0.386,4.45,4.7,16.02,Kozlov,0,2024-01-27,False,True,0,82.5
BATCH-5026,Line_B,evening,6,C,26.5,59.8,1032,428,25,0.0584,73.3,389.5,44,76.6,False,housing,urgent,SUP-02,67.0,0.992,4.02,28.0,336.35,Ivanov,5,2024-01-28,False,False,11,72.7
BATCH-5027,Line_A,night,13,A,25.21,64.2,1269,195,6,0.0308,65.6,216.1,89,76.7,True,gear,urgent,SUP-01,65.0,0.793,4.8,12.0,148.98,Petrov,3,2024-01-29,True,True,2,85.8
BATCH-5028,Line_B,day,10,A,19.71,68.7,1107,53,1,0.0189,10.1,100.9,74,90.7,True,bracket,normal,SUP-02,18.0,0.806,4.15,3.8,18.08,Kozlov,2,2024-01-30,False,True,0,82.8
BATCH-5029,Line_A,night,11,A,23.49,71.1,1314,156,6,0.0385,12.1,191.8,3,75.3,True,housing,normal,SUP-04,12.2,0.533,4.31,6.9,142.22,Petrov,3,2024-01-31,False,True,2,78.1
