campaign_id,channel,month,season,ad_spend,impressions,clicks,conversion_rate,conversions,revenue,cost_per_click,roi_pct,is_profitable,campaign_type,audience_size_k,creative_score,bid_strategy,days_running,budget_daily,comment
CMP-1000,email,6,summer,2708.53,25455,322,0.0423,13,1242.59,8.41,-54.1,False,performance,12,3.84,target_roas,11,246.23,
CMP-1001,social,9,autumn,10596.65,144420,5712,0.0394,225,24492.94,1.86,131.1,True,performance,12,1.69,manual,38,662.29,Остановить
CMP-1002,display,8,summer,6969.27,90655,3992,0.0257,102,5157.96,1.75,-26.0,False,brand,86,1.37,manual,36,409.96,
CMP-1003,email,6,summer,6024.81,79364,2355,0.0462,108,9628.24,2.56,59.8,True,retargeting,35,1.73,manual,44,261.95,Тест A/B
CMP-1004,search,11,autumn,4871.93,43444,1125,0.0325,36,1713.88,4.33,-64.8,False,performance,411,4.92,auto,30,232.0,Тест A/B
CMP-1005,display,7,summer,9639.1,85462,3010,0.0288,86,8432.92,3.2,-12.5,False,brand,306,2.83,auto,8,370.73,OK
CMP-1006,email,1,winter,5746.28,83280,4476,0.0373,167,7808.83,1.28,35.9,True,brand,490,4.14,auto,24,478.86,Остановить
CMP-1007,email,10,autumn,1770.92,19095,1003,0.0399,40,4595.01,1.77,159.5,True,performance,402,3.55,manual,21,110.68,Масштабировать
CMP-1008,search,7,summer,2211.09,22346,272,0.0326,8,407.94,8.13,-81.6,False,retargeting,481,3.29,target_roas,38,157.94,Масштабировать
CMP-1009,social,8,summer,14447.52,164991,3147,0.0514,161,18790.38,4.59,30.1,True,retargeting,126,1.58,manual,19,535.09,Остановить
CMP-1010,social,7,summer,13674.42,172845,3774,0.0454,171,17796.1,3.62,30.1,True,performance,151,4.78,manual,16,1243.13,
CMP-1011,display,7,summer,10645.75,156379,3513,0.0282,99,8661.96,3.03,-18.6,False,brand,426,2.21,target_roas,6,591.43,
CMP-1012,social,2,winter,4355.11,43573,1680,0.0191,32,3283.52,2.59,-24.6,False,retargeting,129,3.31,target_roas,38,725.85,OK
CMP-1013,email,7,summer,14553.06,210636,6490,0.0734,476,49317.97,2.24,238.9,True,performance,38,3.8,manual,34,582.12,Остановить
CMP-1014,social,10,autumn,11791.89,96387,1201,0.0476,57,6593.88,9.82,-44.1,False,brand,337,3.6,auto,4,907.07,Остановить
CMP-1015,search,4,spring,10894.91,129501,3714,0.0477,177,10667.91,2.93,-2.1,False,performance,402,4.76,target_roas,21,907.91,OK
CMP-1016,social,8,summer,7015.74,87260,3157,0.0362,114,9941.49,2.22,41.7,True,brand,484,1.59,target_roas,23,389.76,OK
CMP-1017,search,1,winter,4447.5,38876,586,0.0268,15,714.06,7.59,-83.9,False,brand,464,3.03,target_roas,22,277.97,OK
CMP-1018,email,5,spring,1897.67,17045,880,0.0361,31,2768.09,2.16,45.9,True,performance,68,2.62,auto,41,75.91,Тест A/B
CMP-1019,social,6,summer,13587.73,148565,1871,0.0479,89,4779.59,7.26,-64.8,False,retargeting,388,2.9,auto,9,799.28,Масштабировать
CMP-1020,email,12,winter,7108.76,104951,5902,0.0402,237,20191.46,1.2,184.0,True,retargeting,424,1.48,target_roas,15,444.3,
CMP-1021,social,3,spring,3434.27,41802,625,0.0241,15,1286.92,5.49,-62.5,False,retargeting,352,1.54,manual,10,686.85,Масштабировать
CMP-1022,display,4,spring,4936.37,71731,3742,0.0189,70,5409.52,1.32,9.6,True,performance,411,2.11,manual,13,1645.46,
CMP-1023,display,5,spring,8898.68,121293,6687,0.0278,185,15134.95,1.33,70.1,True,brand,420,2.22,auto,41,684.51,Масштабировать
CMP-1024,email,12,winter,3063.21,34527,2036,0.0297,60,6066.83,1.5,98.1,True,performance,228,2.71,target_roas,42,105.63,Тест A/B
CMP-1025,search,11,autumn,12920.91,174346,8734,0.0541,472,49059.48,1.48,279.7,True,retargeting,29,3.44,manual,4,478.55,OK
CMP-1026,social,1,winter,11498.53,93423,4575,0.0291,132,10477.14,2.51,-8.9,False,brand,233,3.54,auto,29,605.19,Масштабировать
CMP-1027,search,3,spring,10932.21,95809,4035,0.0508,204,17945.36,2.71,64.2,True,retargeting,108,2.65,auto,12,546.61,Тест A/B
CMP-1028,search,10,autumn,6765.35,93402,4572,0.047,214,24502.76,1.48,262.2,True,retargeting,65,2.64,auto,11,520.41,
CMP-1029,email,1,winter,9595.98,130291,2179,0.0471,102,5057.03,4.4,-47.3,False,brand,71,1.87,target_roas,15,1370.85,Тест A/B
CMP-1030,email,11,autumn,8969.42,86361,3178,0.0554,176,8688.82,2.82,-3.1,False,retargeting,351,3.35,manual,11,2989.81,OK
CMP-1031,display,4,spring,9922.78,116249,4151,0.0287,119,5594.99,2.39,-43.6,False,retargeting,257,2.27,target_roas,23,826.9,OK
CMP-1032,search,12,winter,1724.44,21110,1116,0.0278,31,2871.5,1.55,66.5,True,brand,274,1.14,auto,44,156.77,OK
CMP-1033,social,4,spring,6529.21,91893,3045,0.0304,92,6760.96,2.14,3.5,True,brand,375,2.67,target_roas,27,816.15,OK
CMP-1034,social,6,summer,1103.41,13485,394,0.0208,8,815.57,2.8,-26.1,False,performance,278,2.9,auto,33,122.6,Остановить
CMP-1035,search,8,summer,7662.87,83433,3502,0.0499,174,16303.54,2.19,112.8,True,retargeting,318,1.9,manual,23,2554.29,Остановить
CMP-1036,search,2,winter,5282.99,56101,1308,0.0325,42,2801.02,4.04,-47.0,False,brand,52,3.29,target_roas,3,278.05,Тест A/B
CMP-1037,social,7,summer,2595.6,28502,484,0.0295,14,1566.17,5.36,-39.7,False,performance,427,3.26,target_roas,6,92.7,Тест A/B
CMP-1038,search,7,summer,1999.34,25118,851,0.0322,27,2727.07,2.35,36.4,True,brand,229,3.81,manual,14,95.21,Остановить
CMP-1039,email,10,autumn,9020.85,126945,3915,0.0522,204,12575.13,2.3,39.4,True,performance,86,3.59,target_roas,13,601.39,Тест A/B
CMP-1040,social,12,winter,2973.6,33236,718,0.0157,11,760.49,4.14,-74.4,False,performance,408,3.61,target_roas,38,212.4,OK
CMP-1041,email,8,summer,13914.24,135453,3843,0.0786,302,19676.87,3.62,41.4,True,brand,369,2.26,auto,38,1264.93,OK
CMP-1042,email,5,spring,8925.39,86189,2440,0.0582,141,7417.86,3.66,-16.9,False,retargeting,35,4.15,target_roas,38,1487.56,Остановить
CMP-1043,search,5,spring,5529.61,73113,1928,0.0367,70,3627.59,2.87,-34.4,False,retargeting,104,3.2,auto,29,291.03,Тест A/B
CMP-1044,email,6,summer,9068.27,124380,3603,0.0576,207,23782.27,2.52,162.3,True,retargeting,17,2.73,auto,26,503.79,OK
