listing_id,district,rooms,area_sqm,floor,total_floors,building_age_years,has_parking,metro_distance_min,renovation,price_k_rub,price_per_sqm,balcony,is_new_building,listing_date,days_on_market,seller_type,mortgage_approved
RE-7000,north,3,69.1,20,22,37,True,7,euro,7762,112330,True,False,2024-03-01,105,owner,False
RE-7001,center,5,107.7,3,7,4,True,6,cosmetic,7628,70826,True,False,2024-03-03,84,owner,False
RE-7002,south,3,72.4,8,11,56,False,18,cosmetic,3000,41436,False,False,2024-03-05,33,agency,True
RE-7003,west,3,53.5,17,23,8,False,36,euro,3742,69944,False,False,2024-03-07,77,owner,False
RE-7004,suburb,2,56.3,4,7,35,False,23,euro,4360,77442,True,False,2024-03-09,19,agency,False
RE-7005,suburb,1,28.0,16,22,47,True,22,cosmetic,3309,118179,False,False,2024-03-11,35,owner,True
RE-7006,north,3,57.5,18,27,14,True,12,cosmetic,5409,94070,True,False,2024-03-13,29,owner,False
RE-7007,south,5,104.5,16,24,16,False,26,cosmetic,5921,56660,False,False,2024-03-15,149,owner,True
RE-7008,center,1,33.7,8,17,28,True,29,cosmetic,3000,89021,False,False,2024-03-17,104,agency,False
RE-7009,east,5,99.5,1,2,53,False,44,cosmetic,5453,54804,False,False,2024-03-19,166,owner,False
RE-7010,suburb,3,75.6,22,27,13,True,33,cosmetic,4132,54656,False,False,2024-03-21,81,agency,False
RE-7011,west,3,58.3,8,10,39,True,28,none,3689,63276,True,False,2024-03-23,40,owner,False
RE-7012,east,1,29.7,20,29,27,False,41,none,3000,101010,False,False,2024-03-25,111,agency,True
RE-7013,south,4,82.3,5,12,6,False,20,euro,5274,64083,False,False,2024-03-27,167,agency,False
RE-7014,suburb,1,32.6,4,7,42,True,42,cosmetic,3418,104847,False,False,2024-03-29,98,owner,False
RE-7015,east,2,53.2,19,25,49,True,17,euro,5543,104192,True,False,2024-03-31,8,agency,False
RE-7016,center,4,78.9,23,29,34,False,7,cosmetic,4999,63359,True,False,2024-04-02,58,owner,False
RE-7017,south,1,38.8,21,26,10,True,19,none,3000,77320,True,False,2024-04-04,166,agency,True
RE-7018,center,3,69.5,19,24,9,True,7,none,4292,61755,True,False,2024-04-06,95,owner,False
RE-7019,north,3,53.9,6,7,25,True,7,none,4640,86085,True,False,2024-04-08,171,agency,True
RE-7020,center,1,28.0,22,27,30,False,39,euro,3271,116821,True,False,2024-04-10,94,developer,False
RE-7021,east,2,50.9,17,21,33,False,36,none,3000,58939,False,False,2024-04-12,7,owner,False
RE-7022,west,2,49.2,5,13,14,True,11,cosmetic,3209,65224,True,False,2024-04-14,157,agency,True
RE-7023,south,4,86.2,4,12,30,True,38,euro,7390,85731,False,False,2024-04-16,138,agency,False
RE-7024,south,5,104.8,21,28,17,True,4,euro,9202,87805,True,False,2024-04-18,130,owner,True
RE-7025,suburb,5,106.8,7,8,41,True,14,none,3592,33633,False,False,2024-04-20,174,agency,False
RE-7026,suburb,1,40.6,19,27,47,True,32,none,3000,73892,True,False,2024-04-22,39,agency,False
RE-7027,east,1,28.0,4,8,39,True,15,none,3000,107143,True,False,2024-04-24,163,developer,True
RE-7028,north,1,28.0,7,11,0,False,33,none,3000,107143,False,True,2024-04-26,45,developer,False
RE-7029,suburb,3,60.3,7,16,59,True,39,none,3000,49751,False,False,2024-04-28,174,owner,False
RE-7030,north,1,35.3,7,15,1,True,4,cosmetic,3000,84986,True,True,2024-04-30,38,agency,True
RE-7031,south,2,61.0,17,18,59,True,3,euro,5206,85344,True,False,2024-05-02,101,agency,False
RE-7032,suburb,5,101.5,22,26,1,False,42,cosmetic,5720,56355,False,True,2024-05-04,143,owner,True
RE-7033,east,5,85.0,22,29,30,False,24,cosmetic,5554,65341,False,False,2024-05-06,18,owner,False
RE-7034,west,5,91.4,18,23,6,True,23,none,5691,62265,True,False,2024-05-08,16,developer,True
RE-7035,east,2,44.3,5,8,5,False,21,euro,4035,91084,True,False,2024-05-10,153,owner,False
RE-7036,west,4,82.5,24,29,41,True,20,cosmetic,5614,68048,True,False,2024-05-12,15,agency,False
RE-7037,north,4,83.7,14,22,43,True,31,euro,6197,74038,False,False,2024-05-14,112,agency,True
RE-7038,north,1,33.3,14,17,7,False,26,euro,3000,90090,True,False,2024-05-16,169,owner,True
RE-7039,south,3,66.5,17,24,58,True,9,cosmetic,3790,56992,True,False,2024-05-18,112,agency,False
RE-7040,north,3,77.4,19,26,19,True,28,none,3426,44264,False,False,2024-05-20,89,developer,False
RE-7041,suburb,2,45.6,23,30,19,True,30,none,3000,65789,True,False,2024-05-22,78,agency,False
RE-7042,north,4,80.1,14,17,17,True,6,cosmetic,5663,70699,True,False,2024-05-24,116,owner,True
RE-7043,east,4,90.8,15,17,27,False,18,euro,6317,69570,True,False,2024-05-26,105,owner,True
